iter	Passed	Remaining
0	60	60257
1	62	31129
2	64	21346
3	69	17296
4	74	14741
5	76	12638
6	78	11085
7	80	9929
8	82	9040
9	85	8435
10	87	7874
11	89	7386
12	91	6955
13	93	6598
14	95	6265
15	97	5976
16	99	5732
17	103	5669
18	106	5485
19	108	5337
20	110	5170
21	113	5023
22	115	4905
23	117	4779
24	119	4662
25	121	4567
26	123	4467
27	126	4385
28	128	4308
29	131	4263
30	133	4187
31	135	4112
32	137	4038
33	140	3982
34	142	3937
35	146	3919
36	155	4051
37	157	3986
38	159	3925
39	161	3878
40	163	3823
41	165	3773
42	167	3732
43	169	3683
44	171	3636
45	172	3587
46	178	3609
47	180	3576
48	182	3547
49	184	3513
50	186	3473
51	188	3443
52	190	3406
53	192	3378
54	198	3408
55	200	3376
56	202	3343
57	204	3313
58	206	3286
59	207	3256
60	209	3228
61	212	3211
62	217	3238
63	220	3223
64	223	3212
65	225	3196
66	229	3196
67	234	3207
68	240	3239
69	242	3224
70	245	3209
71	247	3193
72	251	3192
73	254	3186
74	257	3176
75	261	3177
76	265	3178
77	267	3162
78	269	3147
79	272	3134
80	275	3127
81	281	3146
82	283	3135
83	286	3121
84	288	3107
85	291	3093
86	293	3077
87	295	3065
88	297	3050
89	300	3035
90	302	3021
91	304	3006
92	307	3003
93	310	2991
94	312	2976
95	314	2963
96	316	2947
97	319	2937
98	324	2952
99	326	2938
100	328	2923
101	330	2908
102	332	2894
103	334	2880
104	336	2865
105	338	2853
106	340	2841
107	342	2829
108	345	2824
109	347	2812
110	349	2798
111	351	2784
112	352	2770
113	355	2760
114	357	2747
115	359	2737
116	361	2727
117	363	2717
118	365	2705
119	370	2718
120	373	2712
121	375	2701
122	377	2691
123	379	2682
124	382	2678
125	385	2670
126	387	2665
127	390	2659
128	394	2662
129	397	2661
130	403	2678
131	406	2671
132	408	2665
133	412	2663
134	415	2661
135	419	2661
136	426	2688
137	429	2681
138	431	2674
139	440	2704
140	451	2750
141	455	2752
142	463	2779
143	466	2775
144	469	2769
145	472	2763
146	481	2791
147	483	2786
148	486	2777
149	488	2766
150	490	2757
151	493	2751
152	495	2744
153	498	2739
154	500	2730
155	502	2721
156	505	2713
157	507	2703
158	509	2694
159	512	2689
160	517	2699
161	521	2699
162	524	2692
163	529	2697
164	532	2694
165	535	2691
166	538	2684
167	541	2679
168	543	2671
169	545	2664
170	551	2675
171	554	2670
172	557	2663
173	559	2655
174	561	2647
175	564	2640
176	566	2635
177	569	2628
178	571	2620
179	580	2643
180	582	2635
181	584	2625
182	586	2616
183	587	2607
184	592	2608
185	594	2601
186	596	2594
187	599	2587
188	602	2587
189	605	2581
190	608	2575
191	610	2568
192	613	2563
193	615	2556
194	617	2548
195	619	2542
196	622	2536
197	624	2528
198	626	2523
199	629	2517
200	632	2513
201	634	2506
202	637	2501
203	639	2494
204	641	2487
205	644	2485
206	647	2481
207	650	2478
208	653	2472
209	655	2465
210	657	2459
211	660	2455
212	662	2449
213	664	2442
214	668	2439
215	670	2433
216	672	2426
217	675	2421
218	677	2414
219	679	2408
220	681	2403
221	684	2399
222	686	2393
223	689	2388
224	692	2385
225	694	2379
226	697	2373
227	699	2367
228	702	2363
229	705	2363
230	710	2364
231	712	2360
232	715	2354
233	717	2349
234	721	2347
235	723	2341
236	725	2337
237	728	2332
238	730	2326
239	733	2321
240	735	2315
241	737	2310
242	740	2306
243	742	2301
244	745	2298
245	748	2292
246	750	2288
247	752	2282
248	755	2278
249	757	2273
250	760	2268
251	762	2264
252	764	2257
253	766	2250
254	768	2245
255	770	2238
256	772	2232
257	774	2227
258	776	2221
259	779	2217
260	782	2214
261	784	2209
262	787	2206
263	789	2200
264	791	2195
265	793	2190
266	795	2184
267	798	2181
268	800	2175
269	802	2170
270	804	2164
271	806	2158
272	808	2152
273	810	2148
274	812	2142
275	816	2140
276	818	2135
277	820	2130
278	823	2128
279	825	2123
280	828	2120
281	830	2115
282	833	2111
283	835	2105
284	837	2100
285	841	2100
286	843	2094
287	845	2090
288	849	2089
289	851	2085
290	854	2080
291	857	2078
292	859	2073
293	861	2067
294	863	2063
295	865	2058
296	868	2054
297	870	2049
298	872	2044
299	874	2040
300	876	2034
301	878	2029
302	880	2025
303	882	2021
304	885	2016
305	887	2012
306	889	2007
307	892	2004
308	894	1999
309	896	1994
310	898	1991
311	900	1985
312	902	1981
313	905	1979
314	909	1976
315	911	1973
316	913	1968
317	916	1965
318	918	1961
319	921	1957
320	923	1954
321	926	1950
322	929	1947
323	931	1943
324	935	1943
325	939	1942
326	942	1939
327	945	1937
328	949	1935
329	951	1931
330	953	1928
331	957	1927
332	961	1925
333	964	1922
334	967	1921
335	972	1921
336	975	1918
337	977	1914
338	980	1912
339	984	1911
340	987	1908
341	990	1905
342	993	1903
343	995	1899
344	1001	1901
345	1004	1897
346	1006	1893
347	1008	1889
348	1011	1886
349	1013	1882
350	1018	1882
351	1024	1885
352	1027	1882
353	1029	1879
354	1032	1876
355	1036	1874
356	1039	1871
357	1043	1870
358	1045	1867
359	1048	1864
360	1052	1862
361	1055	1859
362	1058	1857
363	1061	1854
364	1064	1851
365	1066	1846
366	1067	1841
367	1071	1840
368	1073	1835
369	1075	1832
370	1078	1828
371	1080	1824
372	1082	1820
373	1084	1815
374	1087	1811
375	1089	1807
376	1091	1803
377	1093	1800
378	1095	1795
379	1097	1791
380	1099	1786
381	1101	1782
382	1103	1777
383	1106	1774
384	1108	1771
385	1111	1767
386	1113	1763
387	1115	1758
388	1116	1754
389	1118	1749
390	1120	1745
391	1122	1740
392	1124	1736
393	1126	1732
394	1128	1728
395	1130	1723
396	1131	1719
397	1133	1715
398	1135	1710
399	1137	1706
400	1139	1702
401	1141	1698
402	1144	1694
403	1146	1691
404	1148	1687
405	1151	1684
406	1154	1681
407	1156	1678
408	1159	1675
409	1161	1671
410	1164	1669
411	1166	1665
412	1168	1661
413	1170	1657
414	1172	1652
415	1174	1648
416	1176	1644
417	1178	1640
418	1180	1636
419	1182	1632
420	1184	1628
421	1186	1624
422	1187	1620
423	1189	1616
424	1191	1612
425	1193	1608
426	1195	1603
427	1196	1599
428	1199	1596
429	1201	1592
430	1203	1588
431	1205	1584
432	1207	1580
433	1209	1576
434	1210	1572
435	1212	1568
436	1215	1565
437	1217	1561
438	1219	1558
439	1221	1554
440	1223	1550
441	1225	1546
442	1227	1542
443	1229	1539
444	1231	1535
445	1233	1532
446	1235	1528
447	1237	1524
448	1239	1520
449	1241	1517
450	1244	1514
